video_id,video_title,author,text,likes
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@Joaquin-jb6dm,Amo la coca cola,2
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@valeriamonserrathtorrestor196,2,2
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@elsacantero2525,1,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@nanabestaevi8731,maestro ulises Sandoval са,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@josedejesusalvarez5842,maestro ulises Sandoval p,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@brandontran352,Nana Bestaevi,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@pepeperez7970,5,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@玫瑰服飾,Crente TV  btnt,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@narinphone2172,Crente TV,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@narinphone2172,Pepe Perez i,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@anicetoalarconcabanas4479,Leslie Tafolla ni bien ni,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@maysaolivei9696,źź Mezzndoza Gil777i7i77777777777 ź,2
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@luizafreitasgoncalves2394,welclerson Silva,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@alejandraivettquintanar5544,Luiza Freitas Gonçal   ves,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@mararegina7,eu vou passa da com maridão beber Coca-cola zero vede,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@enzofx6353,"Soledad Rivera bo0






  vbhggfri",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@teresahuerta6721,película pepa,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@teresahuerta6721,pepa,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@gerardotibuciococacfphyfcl3304,ooip,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@gog9606,CRISTIAN Gonzalez filet,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@LauraGonzalez-ok5ef,FLOTY GAMER  grasias,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@kimphung3713,nnb,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@ismaeljimenez1159,Alejandra garcia,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@alejandragarciaescobedo3107,ismael jimenez mande,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@federicodenacimiento9802,Alejandra Garcia Escobedo jjjzxvbkifv htbvbjcñgkzgg. cpyutrr,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@salvadorcrtuznavarro6574,Alejandra Garcia Escobedo p p la p gracias por losbiln,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@juliocabrera28,Salvador crtuz Navarro trios,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@israellopezfierro293,55,0
